"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|GB","Without Sequence","41.68","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|GB","Without Sequence","42.08","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|GB","Without Sequence","45.54","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|GB","Without Sequence","41.38","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|GB","Without Sequence","40.52","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|GB","Without Sequence","39.91","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|GB","Without Sequence","38.95","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|GB","Without Sequence","37.00","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|GB","Without Sequence","36.09","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|GB","Without Sequence","43.91","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|GB","Without Sequence","61.70","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|GB","Without Sequence","42.99","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|GB","Without Sequence","43.46","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|GB","Without Sequence","42.02","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|GB","Without Sequence","40.04","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|GB","Without Sequence","35.19","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|GB","Without Sequence","34.94","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|GB","Without Sequence","33.97","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|GB","Without Sequence","30.00","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|GB","Without Sequence","24.93","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|GB","Without Sequence","18.79","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|GB","Without Sequence","24.49","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|GB","Without Sequence","31.35","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|GB","Without Sequence","37.91","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|GB","Without Sequence","36.79","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|GB","Without Sequence","37.31","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|GB","Without Sequence","48.10","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|GB","Without Sequence","41.98","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|GB","Without Sequence","47.18","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|GB","Without Sequence","46.05","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|GB","Without Sequence","41.52","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|GB","Without Sequence","35.55","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|GB","Without Sequence","35.10","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|GB","Without Sequence","49.96","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|GB","Without Sequence","70.49","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|GB","Without Sequence","47.95","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|GB","Without Sequence","40.43","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|GB","Without Sequence","38.15","",""
