"MTU (UTC)","Area","Sequence","Day-ahead Price (GBP/MWh)","Intraday Period (UTC)","Intraday Price (GBP/MWh)"
"09/01/2018 11:00:00 - 09/01/2018 12:00:00","BZN|GB","Without Sequence","54.80","",""
"09/01/2018 12:00:00 - 09/01/2018 13:00:00","BZN|GB","Without Sequence","54.51","",""
"09/01/2018 13:00:00 - 09/01/2018 14:00:00","BZN|GB","Without Sequence","50.74","",""
"09/01/2018 14:00:00 - 09/01/2018 15:00:00","BZN|GB","Without Sequence","49.60","",""
"09/01/2018 15:00:00 - 09/01/2018 16:00:00","BZN|GB","Without Sequence","50.11","",""
"09/01/2018 16:00:00 - 09/01/2018 17:00:00","BZN|GB","Without Sequence","69.98","",""
"09/01/2018 17:00:00 - 09/01/2018 18:00:00","BZN|GB","Without Sequence","82.99","",""
"09/01/2018 18:00:00 - 09/01/2018 19:00:00","BZN|GB","Without Sequence","66.02","",""
"09/01/2018 19:00:00 - 09/01/2018 20:00:00","BZN|GB","Without Sequence","56.10","",""
"09/01/2018 20:00:00 - 09/01/2018 21:00:00","BZN|GB","Without Sequence","51.00","",""
"09/01/2018 21:00:00 - 09/01/2018 22:00:00","BZN|GB","Without Sequence","54.10","",""
"09/01/2018 22:00:00 - 09/01/2018 23:00:00","BZN|GB","Without Sequence","44.15","",""
"09/01/2018 23:00:00 - 10/01/2018 00:00:00","BZN|GB","Without Sequence","44.56","",""
"10/01/2018 00:00:00 - 10/01/2018 01:00:00","BZN|GB","Without Sequence","46.45","",""
"10/01/2018 01:00:00 - 10/01/2018 02:00:00","BZN|GB","Without Sequence","45.99","",""
"10/01/2018 02:00:00 - 10/01/2018 03:00:00","BZN|GB","Without Sequence","44.60","",""
"10/01/2018 03:00:00 - 10/01/2018 04:00:00","BZN|GB","Without Sequence","44.42","",""
"10/01/2018 04:00:00 - 10/01/2018 05:00:00","BZN|GB","Without Sequence","44.48","",""
"10/01/2018 05:00:00 - 10/01/2018 06:00:00","BZN|GB","Without Sequence","45.81","",""
"10/01/2018 06:00:00 - 10/01/2018 07:00:00","BZN|GB","Without Sequence","57.55","",""
"10/01/2018 07:00:00 - 10/01/2018 08:00:00","BZN|GB","Without Sequence","53.46","",""
"10/01/2018 08:00:00 - 10/01/2018 09:00:00","BZN|GB","Without Sequence","61.50","",""
"10/01/2018 09:00:00 - 10/01/2018 10:00:00","BZN|GB","Without Sequence","58.82","",""
"10/01/2018 10:00:00 - 10/01/2018 11:00:00","BZN|GB","Without Sequence","55.00","",""
"10/01/2018 11:00:00 - 10/01/2018 12:00:00","BZN|GB","Without Sequence","52.00","",""
"10/01/2018 12:00:00 - 10/01/2018 13:00:00","BZN|GB","Without Sequence","51.00","",""
"10/01/2018 13:00:00 - 10/01/2018 14:00:00","BZN|GB","Without Sequence","50.00","",""
"10/01/2018 14:00:00 - 10/01/2018 15:00:00","BZN|GB","Without Sequence","50.24","",""
"10/01/2018 15:00:00 - 10/01/2018 16:00:00","BZN|GB","Without Sequence","56.44","",""
"10/01/2018 16:00:00 - 10/01/2018 17:00:00","BZN|GB","Without Sequence","75.94","",""
"10/01/2018 17:00:00 - 10/01/2018 18:00:00","BZN|GB","Without Sequence","101.79","",""
"10/01/2018 18:00:00 - 10/01/2018 19:00:00","BZN|GB","Without Sequence","87.94","",""
"10/01/2018 19:00:00 - 10/01/2018 20:00:00","BZN|GB","Without Sequence","72.45","",""
"10/01/2018 20:00:00 - 10/01/2018 21:00:00","BZN|GB","Without Sequence","64.66","",""
"10/01/2018 21:00:00 - 10/01/2018 22:00:00","BZN|GB","Without Sequence","53.90","",""
"10/01/2018 22:00:00 - 10/01/2018 23:00:00","BZN|GB","Without Sequence","48.00","",""
"10/01/2018 23:00:00 - 11/01/2018 00:00:00","BZN|GB","Without Sequence","47.93","",""
"11/01/2018 00:00:00 - 11/01/2018 01:00:00","BZN|GB","Without Sequence","45.51","",""
"11/01/2018 01:00:00 - 11/01/2018 02:00:00","BZN|GB","Without Sequence","44.16","",""
"11/01/2018 02:00:00 - 11/01/2018 03:00:00","BZN|GB","Without Sequence","44.01","",""
"11/01/2018 03:00:00 - 11/01/2018 04:00:00","BZN|GB","Without Sequence","43.33","",""
"11/01/2018 04:00:00 - 11/01/2018 05:00:00","BZN|GB","Without Sequence","43.03","",""
"11/01/2018 05:00:00 - 11/01/2018 06:00:00","BZN|GB","Without Sequence","43.17","",""
"11/01/2018 06:00:00 - 11/01/2018 07:00:00","BZN|GB","Without Sequence","48.43","",""
"11/01/2018 07:00:00 - 11/01/2018 08:00:00","BZN|GB","Without Sequence","52.55","",""
"11/01/2018 08:00:00 - 11/01/2018 09:00:00","BZN|GB","Without Sequence","54.14","",""
"11/01/2018 09:00:00 - 11/01/2018 10:00:00","BZN|GB","Without Sequence","60.10","",""
"11/01/2018 10:00:00 - 11/01/2018 11:00:00","BZN|GB","Without Sequence","60.08","",""
"11/01/2018 11:00:00 - 11/01/2018 12:00:00","BZN|GB","Without Sequence","53.99","",""
"11/01/2018 12:00:00 - 11/01/2018 13:00:00","BZN|GB","Without Sequence","55.40","",""
"11/01/2018 13:00:00 - 11/01/2018 14:00:00","BZN|GB","Without Sequence","53.10","",""
"11/01/2018 14:00:00 - 11/01/2018 15:00:00","BZN|GB","Without Sequence","51.85","",""
"11/01/2018 15:00:00 - 11/01/2018 16:00:00","BZN|GB","Without Sequence","61.00","",""
"11/01/2018 16:00:00 - 11/01/2018 17:00:00","BZN|GB","Without Sequence","83.89","",""
"11/01/2018 17:00:00 - 11/01/2018 18:00:00","BZN|GB","Without Sequence","100.00","",""
"11/01/2018 18:00:00 - 11/01/2018 19:00:00","BZN|GB","Without Sequence","81.00","",""
"11/01/2018 19:00:00 - 11/01/2018 20:00:00","BZN|GB","Without Sequence","60.10","",""
"11/01/2018 20:00:00 - 11/01/2018 21:00:00","BZN|GB","Without Sequence","60.20","",""
"11/01/2018 21:00:00 - 11/01/2018 22:00:00","BZN|GB","Without Sequence","56.51","",""
"11/01/2018 22:00:00 - 11/01/2018 23:00:00","BZN|GB","Without Sequence","46.91","",""
"11/01/2018 23:00:00 - 12/01/2018 00:00:00","BZN|GB","Without Sequence","48.89","",""
"12/01/2018 00:00:00 - 12/01/2018 01:00:00","BZN|GB","Without Sequence","45.99","",""
"12/01/2018 01:00:00 - 12/01/2018 02:00:00","BZN|GB","Without Sequence","45.89","",""
"12/01/2018 02:00:00 - 12/01/2018 03:00:00","BZN|GB","Without Sequence","45.23","",""
"12/01/2018 03:00:00 - 12/01/2018 04:00:00","BZN|GB","Without Sequence","44.05","",""
"12/01/2018 04:00:00 - 12/01/2018 05:00:00","BZN|GB","Without Sequence","42.57","",""
"12/01/2018 05:00:00 - 12/01/2018 06:00:00","BZN|GB","Without Sequence","43.40","",""
"12/01/2018 06:00:00 - 12/01/2018 07:00:00","BZN|GB","Without Sequence","48.43","",""
"12/01/2018 07:00:00 - 12/01/2018 08:00:00","BZN|GB","Without Sequence","53.06","",""
"12/01/2018 08:00:00 - 12/01/2018 09:00:00","BZN|GB","Without Sequence","60.20","",""
